store_id,item_id,category,hours_of_supply,waste_units_14d,urgency_score,fresh_risk_score,risk_status
1001,SKU001,produce,0.00,19,55,100,critical
1001,SKU003,dairy,0.00,19,42,100,critical
1001,SKU004,dairy,0.75,14,40,100,critical
1001,SKU005,meat,1.12,13,40,100,critical
1001,SKU007,bakery,3.00,17,28,100,critical
1002,SKU001,produce,0.00,16,54,100,critical
1002,SKU002,produce,0.00,11,43,100,critical
1002,SKU005,meat,2.50,12,39,100,critical
1002,SKU006,meat,3.50,15,27,100,critical
1002,SKU007,bakery,1.71,22,40,100,critical
1003,SKU001,produce,0.00,24,53,100,critical
1003,SKU002,produce,0.00,11,42,100,critical
1003,SKU003,dairy,1.00,14,41,100,critical
1003,SKU004,dairy,0.35,15,41,100,critical
1003,SKU007,bakery,2.77,17,39,100,critical
1001,SKU002,produce,0.00,9,44,95,critical
1001,SKU008,bakery,9.00,18,20,92,critical
1002,SKU004,dairy,1.12,9,40,91,critical
1003,SKU005,meat,3.86,11,28,87,critical
1002,SKU003,dairy,0.00,7,39,82,critical
1003,SKU006,meat,4.15,12,27,75,high
1002,SKU008,bakery,4.50,12,26,74,high
1001,SKU006,meat,5.00,11,27,71,high
1003,SKU008,bakery,6.00,15,7,67,high
