store_id,item_id,category,department,avg_units_per_hour_6h,on_hand_units,backroom_units,hours_of_supply,promo_active,last_delivery_ts,urgency_score,priority_status
1001,SKU001,produce,produce,10.67,0,10,0.00,false,2026-06-04T05:30:00,55,high
1002,SKU001,produce,produce,10.00,0,14,0.00,false,2026-06-04T05:30:00,54,watch
1003,SKU001,produce,produce,9.83,0,9,0.00,false,2026-06-04T05:30:00,53,watch
1001,SKU002,produce,produce,4.67,0,10,0.00,false,2026-06-04T05:30:00,44,watch
1002,SKU002,produce,produce,4.33,0,12,0.00,false,2026-06-04T05:30:00,43,watch
1001,SKU003,dairy,dairy,3.83,0,9,0.00,false,2026-06-04T05:30:00,42,watch
1003,SKU002,produce,produce,3.67,0,9,0.00,false,2026-06-04T05:30:00,42,watch
1003,SKU003,dairy,dairy,3.00,3,10,1.00,false,2026-06-04T05:30:00,41,watch
1003,SKU004,dairy,dairy,2.83,1,13,0.35,false,2026-06-04T05:30:00,41,watch
1001,SKU004,dairy,dairy,2.67,2,8,0.75,false,2026-06-04T05:30:00,40,watch
1001,SKU005,meat,meat,2.67,3,9,1.12,false,2026-06-04T05:30:00,40,watch
1002,SKU004,dairy,dairy,2.67,3,14,1.12,false,2026-06-04T05:30:00,40,watch
1002,SKU007,bakery,bakery,2.33,4,10,1.71,false,2026-06-04T05:30:00,40,watch
1002,SKU003,dairy,dairy,2.00,0,14,0.00,false,2026-06-04T05:30:00,39,watch
1002,SKU005,meat,meat,2.00,5,9,2.50,false,2026-06-04T05:30:00,39,watch
1003,SKU007,bakery,bakery,2.17,6,13,2.77,false,2026-06-04T05:30:00,39,watch
1001,SKU007,bakery,bakery,2.67,8,11,3.00,false,2026-06-04T05:30:00,28,stable
1003,SKU005,meat,meat,2.33,9,11,3.86,false,2026-06-04T05:30:00,28,stable
1001,SKU006,meat,meat,2.00,10,11,5.00,false,2026-06-04T05:30:00,27,stable
1002,SKU006,meat,meat,2.00,7,13,3.50,false,2026-06-04T05:30:00,27,stable
1003,SKU006,meat,meat,2.17,9,12,4.15,false,2026-06-04T05:30:00,27,stable
1002,SKU008,bakery,bakery,1.33,6,11,4.50,false,2026-06-04T05:30:00,26,stable
1001,SKU008,bakery,bakery,1.33,12,12,9.00,false,2026-06-04T05:30:00,20,stable
1002,SKU010,beverages,grocery,1.83,6,12,3.27,false,2026-06-04T05:30:00,17,stable
1003,SKU010,beverages,grocery,2.17,9,14,4.15,false,2026-06-04T05:30:00,17,stable
1001,SKU010,beverages,grocery,1.33,6,12,4.50,false,2026-06-04T05:30:00,16,stable
1002,SKU009,beverages,grocery,2.33,21,19,9.00,false,2026-06-02T05:30:00,12,stable
1001,SKU011,frozen,frozen,1.67,23,15,13.80,false,2026-06-04T05:30:00,11,stable
1002,SKU013,grocery,grocery,1.67,21,20,12.60,false,2026-06-01T05:30:00,11,stable
1003,SKU009,beverages,grocery,1.83,21,20,11.45,false,2026-05-30T05:30:00,11,stable
1001,SKU012,frozen,frozen,1.33,20,18,15.00,false,2026-06-04T05:30:00,10,stable
1001,SKU013,grocery,grocery,1.33,24,14,18.00,false,2026-06-03T05:30:00,10,stable
1001,SKU014,grocery,grocery,1.33,23,14,17.25,false,2026-06-04T05:30:00,10,stable
1001,SKU015,household,grocery,1.33,23,19,17.25,false,2026-06-04T05:30:00,10,stable
1002,SKU011,frozen,frozen,1.17,21,16,18.00,false,2026-06-03T05:30:00,10,stable
1002,SKU012,frozen,frozen,1.50,23,15,15.33,false,2026-06-04T05:30:00,10,stable
1002,SKU015,household,grocery,1.33,30,18,22.50,false,2026-06-04T05:30:00,10,stable
1003,SKU011,frozen,frozen,1.50,22,15,14.67,false,2026-06-03T05:30:00,10,stable
1003,SKU012,frozen,frozen,1.33,21,15,15.75,false,2026-06-04T05:30:00,10,stable
1003,SKU013,grocery,grocery,1.50,26,15,17.33,false,2026-06-02T05:30:00,10,stable
1003,SKU014,grocery,grocery,1.50,25,18,16.67,false,2026-06-03T05:30:00,10,stable
1003,SKU015,household,grocery,1.33,24,18,18.00,false,2026-06-03T05:30:00,10,stable
1002,SKU014,grocery,grocery,1.00,23,19,23.00,false,2026-06-04T05:30:00,9,stable
1003,SKU008,bakery,bakery,1.00,6,12,6.00,false,2026-06-04T05:30:00,7,stable
1001,SKU009,beverages,grocery,2.33,17,20,7.29,false,2026-06-03T05:30:00,0,stable
