snapshot_ts,store_id,item_id,category,department,on_hand_units,backroom_units
2026-05-22T06:00:00,1001,SKU001,produce,produce,16,12
2026-05-22T06:00:00,1001,SKU002,produce,produce,15,8
2026-05-22T06:00:00,1001,SKU003,dairy,dairy,15,11
2026-05-22T06:00:00,1001,SKU004,dairy,dairy,22,10
2026-05-22T06:00:00,1001,SKU005,meat,meat,16,9
2026-05-22T06:00:00,1001,SKU006,meat,meat,17,14
2026-05-22T06:00:00,1001,SKU007,bakery,bakery,23,9
2026-05-22T06:00:00,1001,SKU008,bakery,bakery,19,13
2026-05-22T06:00:00,1001,SKU009,beverages,grocery,29,15
2026-05-22T06:00:00,1001,SKU010,beverages,grocery,16,10
2026-05-22T06:00:00,1001,SKU011,frozen,frozen,23,14
2026-05-22T06:00:00,1001,SKU012,frozen,frozen,28,19
2026-05-22T06:00:00,1001,SKU013,grocery,grocery,32,19
2026-05-22T06:00:00,1001,SKU014,grocery,grocery,32,14
2026-05-22T06:00:00,1001,SKU015,household,grocery,25,17
2026-05-22T06:00:00,1002,SKU001,produce,produce,8,10
2026-05-22T06:00:00,1002,SKU002,produce,produce,18,12
2026-05-22T06:00:00,1002,SKU003,dairy,dairy,16,10
2026-05-22T06:00:00,1002,SKU004,dairy,dairy,16,8
2026-05-22T06:00:00,1002,SKU005,meat,meat,19,14
2026-05-22T06:00:00,1002,SKU006,meat,meat,21,11
2026-05-22T06:00:00,1002,SKU007,bakery,bakery,15,14
2026-05-22T06:00:00,1002,SKU008,bakery,bakery,21,11
2026-05-22T06:00:00,1002,SKU009,beverages,grocery,28,14
2026-05-22T06:00:00,1002,SKU010,beverages,grocery,18,9
2026-05-22T06:00:00,1002,SKU011,frozen,frozen,27,15
2026-05-22T06:00:00,1002,SKU012,frozen,frozen,31,18
2026-05-22T06:00:00,1002,SKU013,grocery,grocery,25,19
2026-05-22T06:00:00,1002,SKU014,grocery,grocery,29,14
2026-05-22T06:00:00,1002,SKU015,household,grocery,33,20
2026-05-22T06:00:00,1003,SKU001,produce,produce,13,8
2026-05-22T06:00:00,1003,SKU002,produce,produce,19,14
2026-05-22T06:00:00,1003,SKU003,dairy,dairy,14,14
2026-05-22T06:00:00,1003,SKU004,dairy,dairy,18,14
2026-05-22T06:00:00,1003,SKU005,meat,meat,15,10
2026-05-22T06:00:00,1003,SKU006,meat,meat,21,14
2026-05-22T06:00:00,1003,SKU007,bakery,bakery,21,14
2026-05-22T06:00:00,1003,SKU008,bakery,bakery,15,14
2026-05-22T06:00:00,1003,SKU009,beverages,grocery,22,18
2026-05-22T06:00:00,1003,SKU010,beverages,grocery,21,13
2026-05-22T06:00:00,1003,SKU011,frozen,frozen,25,20
2026-05-22T06:00:00,1003,SKU012,frozen,frozen,33,17
